iter	RMSE
209	991.003577
210	990.8281809
211	990.6330325
212	990.5270941
213	990.333114
214	990.3014806
215	990.0426739
216	989.8726248
217	989.7133199
218	989.7132994
219	989.7005192
220	989.5188557
221	989.3557049
222	989.1199595
223	988.9472806
224	988.7832531
225	988.6553123
226	988.6552243
227	988.6322045
228	988.4846403
229	988.3577397
230	988.1724041
231	987.9748606
232	987.8647971
233	987.8643595
234	987.7440608
235	987.5766065
236	987.5765946
237	987.4352864
238	987.2536706
239	987.1287622
240	987.1287513
241	987.0033564
242	986.9884533
243	986.7723111
244	986.6653885
245	986.4667086
246	986.3306617
247	986.2223675
248	986.0548983
249	985.8588567
250	985.8577287
251	985.7177706
252	985.7176619
253	985.7044972
254	985.6884888
255	985.6001489
256	985.5982936
257	985.4719591
258	985.404194
259	985.3149415
260	985.1871774
261	985.1315931
262	984.9794024
263	984.9628077
264	984.8101198
265	984.676476
266	984.5582676
267	984.5109174
268	984.5080161
269	984.4931464
270	984.4868785
271	984.4689494
272	984.4518104
273	984.2997719
274	984.2328186
275	984.2326834
276	984.1518098
277	984.1286873
278	984.1091144
279	983.8879522
280	983.8845721
281	983.870348
282	983.8632626
283	983.8563241
284	983.8499218
285	983.8476507
286	983.8358397
287	983.8228292
288	983.8207667
289	983.8126706
290	983.6298838
291	983.5975589
292	983.5568379
293	983.5507948
294	983.5384591
295	983.5163653
296	983.3911234
297	983.3885228
298	983.3867563
299	983.3847506
300	983.3726932
301	983.3695847
302	983.3664177
303	983.3503558
304	983.2293091
305	983.2176609
306	983.1816081
307	983.1813944
308	983.0000737
309	982.8766754
310	982.857955
311	982.82118
312	982.7950246
313	982.6510305
314	982.6426464
315	982.5758704
316	982.5633673
317	982.4353151
318	982.4263907
319	982.37738
320	982.2980705
321	982.126956
322	982.0232315
323	982.01368
324	982.0123376
325	982.0019105
326	981.9838211
327	981.9519178
328	981.8481453
329	981.8397073
330	981.8198787
331	981.7131808
332	981.7037935
333	981.674068
334	981.6104412
335	981.6092255
336	981.5537972
337	981.537726
338	981.5244347
339	981.3684584
340	981.3668603
341	981.3387199
342	981.3356958
343	981.3334473
344	981.3192281
345	981.292313
346	981.2867232
347	981.2770219
348	981.2325879
349	981.2269869
350	981.2115507
351	981.0852154
352	981.0784381
353	981.069525
354	981.0549569
355	981.0460001
356	981.0321972
357	981.0250526
358	981.0161431
359	981.0007542
360	980.8872597
361	980.7919412
362	980.7709655
363	980.75984
364	980.7548686
365	980.6929827
366	980.6807541
367	980.6701265
368	980.6608594
369	980.6528584
370	980.6287053
371	980.6104879
372	980.6009308
373	980.5836769
374	980.5196242
375	980.5113133
376	980.501518
377	980.4996487
378	980.477248
379	980.4709213
380	980.4628927
381	980.4356287
382	980.4245502
383	980.4231198
384	980.4148476
385	980.4014733
386	980.3908206
387	980.2612573
388	980.2346637
389	980.2161267
390	980.0968281
391	980.0960839
392	979.9485828
393	979.946823
394	979.9461475
395	979.9358754
396	979.8187744
397	979.8133481
398	979.8120862
399	979.8048204
